name,director,rating,category,duration,tag,lables
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆,8.5,剧情/奇幻/冒险,141,哈利波特/魔幻/英国/HarryPotter/美国/奇幻/2004/成长,553
霸王别姬,陈凯歌,9.6,剧情/爱情/同性,171,经典/人性/文艺/爱情/人生/同志/剧情/文革,274
青木瓜之味,陈英雄,7.8,剧情/爱情/音乐,104,越南/陈英雄/文艺/越南电影/爱情/青木瓜之味/唯美/法国,1421
乡愁,安德烈·塔可夫斯基,9.0,剧情,125,塔可夫斯基/俄罗斯/苏联/意大利/AndreiTarkovsky/文艺/安德烈·塔可夫斯基/电影,509
云上的日子,米开朗基罗·安东尼奥尼/维姆·文德斯,7.7,剧情/爱情/情色,105,法国/爱情/情色/意大利/文艺/欧洲/1995/剧情,1774
新桥恋人,莱奥·卡拉克斯,8.1,剧情/爱情,125,法国/茱丽叶·比诺什/爱情/法国电影/文艺/JulietteBinoche/新桥恋人/LeosCarax,2191
千与千寻,宫崎骏,9.3,剧情/动画/奇幻,125,日本/动画/动漫/成长/经典/温情/人性/吉卜力,1119
十分钟年华老去：大提琴篇,贝纳尔多·贝托鲁奇/克莱尔·德尼/迈克·菲吉斯/让-吕克·戈达尔/伊利·曼佐/迈克尔·莱德福/沃尔克·施隆多夫/伊斯特凡·萨博,8.3,剧情/爱情/科幻/歌舞,95,短片集/十分钟年华老去/文艺/短片/欧洲电影/大师/欧洲/英国,1776
疯狂约会美丽都,希尔万·肖默,8.7,喜剧/动画,80,动画/法国/法国动画/疯狂约会美丽都/法国电影/动画片/2003/欧洲,464
攻壳机动队2：无罪,押井守,9.1,剧情/科幻/动画,100,押井守/动画/科幻/日本/攻壳机动队/日本动画/动漫/2004,1302
东京物语,小津安二郎,9.2,剧情/家庭,136,小津安二郎/日本/家庭/日本电影/经典/文艺/1953/剧情,1082
虫虫危机,约翰·拉塞特/安德鲁·斯坦顿,7.8,喜剧/动画/冒险,95,动画/美国/迪斯尼/pixar/动画片/DISNEY/美国电影/1998,628
玩具总动员2,约翰·拉塞特/艾什·布兰农/李·昂克里奇,8.2,喜剧/动画/奇幻/冒险,92,动画/美国/迪斯尼/pixar/动画片/1999/DISNEY/美国电影,1383
超人总动员,布拉德·伯德,8.1,喜剧/动作/动画/冒险,115,动画/美国/pixar/喜剧/动画片/皮克斯/卡通/2004,1383
怪兽电力公司,彼特·道格特/大卫·斯沃曼/李·昂克里奇,8.7,喜剧/动画/儿童/奇幻/冒险,92,动画/迪斯尼/美国/喜剧/pixar/动画片/温情/美国电影,891
杀死比尔,昆汀·塔伦蒂诺,8.2,动作/惊悚/犯罪,111,暴力/动作/美国/暴力美学/血腥/犯罪/2003/经典,2235
怪物史瑞克,安德鲁·亚当森/维基·詹森,7.9,喜剧/动画/家庭/奇幻/冒险,90,动画/梦工厂/美国/喜剧/动画片/爱情/美国电影/shrek,628
怪物史瑞克2,安德鲁·亚当森/凯利·阿斯博瑞/康拉德·弗农,7.6,喜剧/动画/家庭/奇幻/冒险,93,动画/美国/梦工厂/喜剧/动画片/shrek/美国电影/爱情,2432
天空之城,宫崎骏,9.1,动画/奇幻/冒险,125,宫崎骏/动画/天空之城/日本/动漫/宮崎駿/日本动画/经典,1678
杀死比尔2,昆汀·塔伦蒂诺,7.9,动作/惊悚/犯罪,137,暴力/美国/动作/暴力美学/2004/犯罪/血腥/复仇,776
风之谷,宫崎骏,8.8,动画/奇幻/冒险,117,宫崎骏/动画/日本/风之谷/日本动画/动漫/宮崎駿/电影,1276
海底总动员,安德鲁·斯坦顿/李·昂克里奇,8.3,喜剧/动画/家庭/冒险,100,动画/迪斯尼/美国/亲情/喜剧/经典/2003/pixar,2285
埃及王子,布兰达?查普曼/西蒙·威尔斯,8.0,剧情/动画/冒险,99,动画/美国/梦工厂/史诗/埃及王子/动画片/Disney/美国电影,2171
岁月的童话,高畑勋,8.6,剧情/爱情/动画,118,宫崎骏/动画/日本/岁月的童话/高畑勋/吉卜力/日本动画/成长,1805
卢旺达饭店,特瑞·乔治,8.9,剧情/历史/战争,121,战争/种族/人性/非洲/历史/卢旺达饭店/经典/美国,659
黑鹰坠落,雷德利·斯科特,8.6,动作/历史/战争,144,战争/美国/索马里/经典/美国电影/戰爭/动作/2001,2260
古尔德的32个短片,佛朗索瓦·吉拉德,8.4,剧情/音乐/传记,98,纪录片/音乐/古尔德/加拿大/传记/短片集/Gould/短片,2002
灿烂人生,马可·图利奥·吉奥达纳,9.4,剧情/爱情/家庭,366,意大利/意大利电影/人生/灿烂人生/成长/文艺/文艺片/剧情,2141
戴珍珠耳环的少女,彼得·韦柏,7.7,剧情/爱情/传记,100,文艺/英国/ScarlettJohansson/艺术/戴珍珠耳环的少女/爱情/英国电影/ColinFirth,1225
走出非洲,西德尼·波拉克,8.6,剧情/爱情/传记/冒险,161,爱情/美国/经典/走出非洲/MerylStreep/非洲/美国电影/剧情,463
当哈利遇到莎莉,罗伯·莱纳,8.3,剧情/喜剧/爱情,96,爱情/美国/喜剧/浪漫/经典/美国电影/Meg-Ryan/1989,39
十七岁的单车,王小帅,7.8,剧情,113,王小帅/青春/十七岁的单车/成长/中国电影/大陆/中国/电影,2385
站台,贾樟柯,8.3,剧情/历史,154,贾樟柯/文艺/大陆/中国电影/青春/中国/站台/賈樟柯,1127
